id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[fd547680a0],[99387a27e6],"抑郁症
 无用的人 ",[9b2d5b4678],[b28ed5f673],[9b2d5b4678],,2024-05-27T01:35:40,抑郁症超话,1,1,"[{""id"": ""[649029af65]"", ""created_at"": ""05-27"", ""source"": ""来自北京"", ""user"": {""id"": ""[783890bfd6]"", ""screen_name"": ""[882c263383]""}, ""text"": "" [泪]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-27 01:35:40
[a8927ec45b],[535e8b33f1],我已经默默熬过很多委屈了，有没有人说都无所谓 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T01:31:33,iPhone客户端,6,1,"[{""id"": ""[2dd4dc242a]"", ""created_at"": ""04-25"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""抱抱，你值得被温柔以待 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 01:31:33
