id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[12e35fc4d1],[6b3b190532],状态差的时候连喜欢的歌都显得聒噪 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T01:13:12,,2,6,"[{'id': 5026909748199466, 'created_at': '昨天 04:55', 'source': '来自罗伯特', 'user': {'id': 5762999670, 'screen_name': '评论罗伯特'}, 'text': '感同身受，有时候音乐也会变成噪音', 'like_counts': 0, 'liked': False}, {'id': 5026857453619130, 'created_at': '昨天 01:27', 'source': '来自湖南', 'user': {'id': 6210112850, 'screen_name': '白妖怪oLo'}, 'text': '回复@白妖怪oLo:不过是他单相思人家姑娘', 'reply_id': 5026856807696995, 'reply_text': '和你一个专业，男生，聪明但敏感，考研二战调剂上岸，学费特别特别贵。有点子自卑，有点子自负，有点子小帅，恋爱脑，对感情很是执着。', 'like_counts': 0, 'liked': False}, {'id': 5026856975990826, 'created_at': '昨天 01:25', 'source': '来自湖南', 'user': {'id': 6210112850, 'screen_name': '白妖怪oLo'}, 'text': '回复@mangekyou1:我睡不着', 'reply_id': 5026856615805533, 'reply_text': '回复@白妖怪oLo:是吗你回复了我好多评论，谢谢 ""[融化]""', 'like_counts': 0, 'liked': False}, {'id': 5026856807696995, 'created_at': '昨天 01:25', 'source': '来自湖南', 'user': {'id': 6210112850, 'screen_name': '白妖怪oLo'}, 'text': '和你一个专业，男生，聪明但敏感，考研二战调剂上岸，学费特别特别贵。有点子自卑，有点子自负，有点子小帅，恋爱脑，对感情很是执着。', 'like_counts': 0, 'liked': False}, {'id': 5026856615805533, 'created_at': '昨天 01:24', 'source': '来自浙江', 'user': {'id': 7723688841, 'screen_name': 'mangekyou1'}, 'text': '回复@白妖怪oLo:是吗你回复了我好多评论，谢谢 ""[融化]""', 'reply_id': 5026855205470340, 'reply_text': '你说话跟我认识的一个人很像', 'like_counts': 0, 'liked': False}, {'id': 5026855205470340, 'created_at': '昨天 01:18', 'source': '来自湖南', 'user': {'id': 6210112850, 'screen_name': '白妖怪oLo'}, 'text': '你说话跟我认识的一个人很像', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024/4/25 1:13
[0d9bef9876],[c626b6a87f],"抑郁症
大家过得好吗？我过得很不好。
一个人来杭州一个半月了，一直在找工作，上周找到一份待遇还不错的工作，去上了一天班我就辞职了，可能是我两年没上班所以第一天上班坐在那特别煎熬，辞职后第二天我就后悔了，但已经没办法挽回了。于是又开始一直找工作，但已经十天了连一个面试的机会都 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T00:26:55,抑郁症超话,9,25,,0,,[9b2d5b4678],2024/4/25 0:26
[6786340b07],[db19ab0ada],又到满月的时候了? ,[9b2d5b4678],[c2665cdde4],[9b2d5b4678],,2024-04-23T20:16:20,,1,0,,0,,[9b2d5b4678],2024/4/23 20:16
[295a4e9c2b],[38554890e8],"今天太嗜睡了，一直睡到现在
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-23T19:25:24,,1,0,,0,,[9b2d5b4678],2024/4/23 19:25
[9c2e372cb0],[69c248963e],时隔两年重新工作，上班第一天就不顺，需要完成的任务是缥缈庞大的，我在其面前就像一只蝼蚁，刚刚建立起的一点自信心一下子就被击垮溃散了...自卑可能是我人生的常态吧 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-15T21:09:49,,0,1,"[{""id"": ""[3ec328560a]"", ""created_at"": ""04-15"", ""source"": ""来自上海"", ""user"": {""id"": ""[61632417b1]"", ""screen_name"": ""[093271245a]""}, ""text"": ""加油！你很棒"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024/4/15 21:09
[ce10b657ce],[034fc7fa2f],发现一颗立在江中的树? ,[9b2d5b4678],[35d7646788],[9b2d5b4678],,2024-04-10T19:16:19,,0,2,"[{""id"": ""[fff3fab027]"", ""created_at"": ""04-10"", ""source"": ""来自浙江"", ""user"": {""id"": ""[f02f40acc7]"", ""screen_name"": ""[fe0d785944]""}, ""text"": ""回复@评论罗伯特:你怎么来了 [笑哈哈]"", ""reply_id"": 5021691442893202, ""reply_text"": ""这个角度真的很独特"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6e67a15f61]"", ""created_at"": ""04-10"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""这个角度真的很独特"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024/4/10 19:16
[a8845819ce],[3087d166d3],"#你想活出怎样的人生# 
坐在那俩小时，一点没看懂
感觉阅片有点门槛 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T22:02:36,,2,1,"[{""id"": ""[3e93c5625a]"", ""created_at"": ""04-03"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“你想活出怎样的人生”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 你想活出怎样的人生[超话]"", ""like_counts"": 0, ""liked"": false}]",0,你想活出怎样的人生,[9b2d5b4678],2024/4/3 22:02
[12f3391941],[c441884a0c],"下个月要25了，昨天又因为gap2年的原因被hr拒绝了，但我还是希望我自己能坚持下去重新融入社会。
也许25岁的我会拥有一份时常需要加班且双休无法保障的工作并为之努力，但我希望我依然能够对生活抱有热情，也希望我有能够在坚持不下去的时候说走就走的勇气。
生命只有一次，人生不过体验，我不想活的 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-26T15:21:45,,2,1,"[{""id"": ""[1d8c9d99bf]"", ""created_at"": ""03-26"", ""source"": ""来自上海"", ""user"": {""id"": ""[61632417b1]"", ""screen_name"": ""[093271245a]""}, ""text"": ""加油"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024/3/26 15:21
