id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[ba93301eb3],[62fa5b454e],沙比老板为什么要拖欠工资啊啊啊啊啊啊啊 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T20:19:19,真我GT Neo5,0,1,"[{""id"": ""[fce8ea59d5]"", ""created_at"": ""5分钟前"", ""source"": ""来自广西"", ""user"": {""id"": ""[7ff87850d7]"", ""screen_name"": ""[8f4f109712]""}, ""text"": ""自从入职以来就没准时发过对我有意见就直说 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-26 20:19:19
[9fe7906525],[fcffe99c8f],求求老板快点发工资吧，买乐高还欠着很多钱呢 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-26T00:32:38,真我GT Neo5,0,0,,0,,[9b2d5b4678],2024-04-26 00:32:38
[003b3f5fe0],[cac040b2e8],"抑郁症
老板又拖着不发工资，好烦 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:54:29,抑郁症超话,0,1,"[{""id"": ""[2a3a5f88d7]"", ""created_at"": ""昨天 00:07"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""太坑了吧"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 23:54:29
[2394924b03],[2b3c1eee44],"再不发工资我要碎了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-20T21:46:47,真我GT Neo5,0,0,,0,,[9b2d5b4678],2024-04-20 21:46:47
[834a05c69f],[0b9ea1d60b],鬼屋通关~ ,[9b2d5b4678],[269064e2c9],[9b2d5b4678],,2024-04-12T16:18:45,真我GT Neo5,1,0,,0,,[9b2d5b4678],2024-04-12 16:18:45
[597c15d910],[1c7b829338],"不是我说现在的扣扣还有什么隐私可言
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T22:24:05,真我GT Neo5,2,0,,0,,[9b2d5b4678],2024-04-08 22:24:05
[c650523c54],[5a396e9476], ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-02T14:54:55,真我GT Neo5,0,0,,0,,[9b2d5b4678],2024-04-02 14:54:55
[f81f62dae1],[b4a38ae2da],鼻塞的睡不着，想哭 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-31T02:12:40,真我GT Neo5,0,0,,0,,[9b2d5b4678],2024-03-31 02:12:40
