id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[348ef48580],[3d9bc42cab],"抑郁症
 说不定某天我就不在了 珍惜我 >_< ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T22:09:06,抑郁症超话,3,4,"[{""id"": ""[29020f5ef6]"", ""created_at"": ""04-25"", ""source"": ""来自山东"", ""user"": {""id"": ""[2e2984aa59]"", ""screen_name"": ""[5db034c0d4]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[a8fdafb926]"", ""created_at"": ""04-25"", ""source"": ""来自河北"", ""user"": {""id"": ""[f628a900fc]"", ""screen_name"": ""[1b484c65a9]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[83b5df428f]"", ""created_at"": ""04-25"", ""source"": ""来自上海"", ""user"": {""id"": ""[6da439bc09]"", ""screen_name"": ""[3fe0fc1150]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[0271bc3e20]"", ""created_at"": ""04-25"", ""source"": ""来自江苏"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-25 22:09:06
[60834cc899],[159f999a64],"其实我有很多东西 都是给自己看的 比如备忘录 抖音喜欢 微博 比如我会把朋友圈私密 却又老是翻着看 因为对我来说被人看透是一件不好的事 他们不懂我 他们只看见我一时兴起发的文案 不懂我内心的大千世界 
但是我又是一个爱分享的人 我频繁的记录着我的生活 仿佛这样我才是新鲜的 我是矛盾的 我希望有人 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-25T01:36:54,iPhone客户端,5,0,,0,,[9b2d5b4678],2024-04-25 01:36:54
[60281c8ad4],[4a2aa3ccb7],我说我很享受一个人 其实是因为我知道自己幸福不了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T23:28:57,iPhone客户端,3,1,"[{""id"": ""[f41a424718]"", ""created_at"": ""04-25"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""其实你只是享受孤独 [心]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-24 23:28:57
[3e7078a981],[e2ef81519f],常常用身体累来掩盖心里的疲惫 直到有一天我突然放声大哭… ,[9b2d5b4678],[0044a8daee],[9b2d5b4678],,2024-04-14T18:23:37,iPhone客户端,6,1,"[{""id"": ""[a3847f63ac]"", ""created_at"": ""04-14"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""真的很心疼你"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-14 18:23:37
[9ba1bc0f1b],[f6302ad38c],"i人的周末૮ ˃̵ ֊ ˂̵ ა
懒洋洋的日常 铲不明白…总是输#livephoto##日常#金铲铲之战
 ",[9b2d5b4678],[30213c6a09],[ae097f3a12],,2024-04-13T18:52:29,iPhone客户端,2,1,"[{""id"": ""[ad8f41930d]"", ""created_at"": ""04-13"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“livephoto”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; livephoto[超话]"", ""like_counts"": 0, ""liked"": false}]",0,"livephoto,日常",[9b2d5b4678],2024-04-13 18:52:29
[204fcad153],[cda04af319],我几乎每天都在怀念过去 真的说不上来 但就是觉得自己在不经意间失去了很多 并且我很肯定 我找不回来了。 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-03-30T18:36:39,iPhone客户端,0,2,"[{""id"": ""[26779eeb55]"", ""created_at"": ""04-25"", ""source"": ""来自湖南"", ""user"": {""id"": ""[c25fbe840f]"", ""screen_name"": ""[299808d308]""}, ""text"": ""＋1 [泪]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[f7652a77d7]"", ""created_at"": ""03-30"", ""source"": ""来自罗伯特"", ""user"": {""id"": ""[477a053a02]"", ""screen_name"": ""[7e4847dc54]""}, ""text"": ""我也经常这样 想回到过去"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-03-30 18:36:39
